Date,Chaîne,Programme,Genre,Heure,Durée,Jour semaine,Audience,Feature,Vacances scolaires,Jour férié,Météo,Concurrence sur autres chaînes,Présence d'un match de foot,Nombre d'épisodes déjà diffusés,Réseaux sociaux,Type de programme,Part d'audience,Position,Article URL,Date publication,Article publié le lendemain,Titre article,Programme URL,Source
2026-06-07,TF1,Chasse gardée,Film,1ère partie de soirée,,Dimanche,4429000,"Leader, Carton",Non,Non,,France 2 - Mourir peut attendre (2 084 000) | France 3 - Vanina : Meurtres en Sicile (2 222 000) | M6 - Capital (1 232 000) | France 5 - La fabrique du mensonge (896 000) | Arte - Capitaine Phillips (597 000),Non,,,Fiction,"31,0 %",1,https://tvmag.lefigaro.fr/programme-tv/audiences-tv/audiences-didier-bourdon-ecrase-daniel-craig-avec-chasse-gardee-sur-tf1-20260608,2026-06-08,Oui,Audiences : Didier Bourdon écrase Daniel Craig avec Chasse gardée sur TF1,https://tvmag.lefigaro.fr/programme-tv/programme/chasse-gardee-f1701871930,fig-tv-audience table
2026-06-07,France 2,Mourir peut attendre,Film,1ère partie de soirée,,Dimanche,2084000,Rediffusion,Non,Non,,TF1 - Chasse gardée (4 429 000) | France 3 - Vanina : Meurtres en Sicile (2 222 000) | M6 - Capital (1 232 000) | France 5 - La fabrique du mensonge (896 000) | Arte - Capitaine Phillips (597 000),Non,,,Fiction,"16,5 %",2,https://tvmag.lefigaro.fr/programme-tv/audiences-tv/audiences-didier-bourdon-ecrase-daniel-craig-avec-chasse-gardee-sur-tf1-20260608,2026-06-08,Oui,Audiences : Didier Bourdon écrase Daniel Craig avec Chasse gardée sur TF1,https://tvmag.lefigaro.fr/programme-tv/programme/mourir-peut-attendre-f54532738,fig-tv-audience table
2026-06-07,France 3,Vanina : Meurtres en Sicile,Série,1ère partie de soirée,,Dimanche,2222000,,Non,Non,,TF1 - Chasse gardée (4 429 000) | France 2 - Mourir peut attendre (2 084 000) | M6 - Capital (1 232 000) | France 5 - La fabrique du mensonge (896 000) | Arte - Capitaine Phillips (597 000),Non,,,Fiction,"15,7 %",3,https://tvmag.lefigaro.fr/programme-tv/audiences-tv/audiences-didier-bourdon-ecrase-daniel-craig-avec-chasse-gardee-sur-tf1-20260608,2026-06-08,Oui,Audiences : Didier Bourdon écrase Daniel Craig avec Chasse gardée sur TF1,https://tvmag.lefigaro.fr/programme-tv/programme/vanina-meurtres-en-sicile-f1485539812,fig-tv-audience table
2026-06-07,M6,Capital,Magazine,1ère partie de soirée,,Dimanche,1232000,,Non,Non,,TF1 - Chasse gardée (4 429 000) | France 2 - Mourir peut attendre (2 084 000) | France 3 - Vanina : Meurtres en Sicile (2 222 000) | France 5 - La fabrique du mensonge (896 000) | Arte - Capitaine Phillips (597 000),Non,,,Documentaire / magazine,"9,0 %",4,https://tvmag.lefigaro.fr/programme-tv/audiences-tv/audiences-didier-bourdon-ecrase-daniel-craig-avec-chasse-gardee-sur-tf1-20260608,2026-06-08,Oui,Audiences : Didier Bourdon écrase Daniel Craig avec Chasse gardée sur TF1,https://tvmag.lefigaro.fr/programme-tv/programme/capital-f351324196,fig-tv-audience table
2026-06-07,France 5,La fabrique du mensonge,Documentaire,1ère partie de soirée,,Dimanche,896000,,Non,Non,,TF1 - Chasse gardée (4 429 000) | France 2 - Mourir peut attendre (2 084 000) | France 3 - Vanina : Meurtres en Sicile (2 222 000) | M6 - Capital (1 232 000) | Arte - Capitaine Phillips (597 000),Non,,,Documentaire / magazine,"6,0 %",5,https://tvmag.lefigaro.fr/programme-tv/audiences-tv/audiences-didier-bourdon-ecrase-daniel-craig-avec-chasse-gardee-sur-tf1-20260608,2026-06-08,Oui,Audiences : Didier Bourdon écrase Daniel Craig avec Chasse gardée sur TF1,https://tvmag.lefigaro.fr/programme-tv/programme/la-fabrique-du-mensonge-f1172715623,fig-tv-audience table
2026-06-07,Arte,Capitaine Phillips,Film,1ère partie de soirée,,Dimanche,597000,,Non,Non,,TF1 - Chasse gardée (4 429 000) | France 2 - Mourir peut attendre (2 084 000) | France 3 - Vanina : Meurtres en Sicile (2 222 000) | M6 - Capital (1 232 000) | France 5 - La fabrique du mensonge (896 000),Non,,,Fiction,"4,2 %",6,https://tvmag.lefigaro.fr/programme-tv/audiences-tv/audiences-didier-bourdon-ecrase-daniel-craig-avec-chasse-gardee-sur-tf1-20260608,2026-06-08,Oui,Audiences : Didier Bourdon écrase Daniel Craig avec Chasse gardée sur TF1,https://tvmag.lefigaro.fr/programme-tv/programme/capitaine-phillips-f1341862147,fig-tv-audience table
2026-06-07,TMC,Esprits criminels,Série,1ère partie de soirée,,Dimanche,454000,,Non,Non,,TF1 - Chasse gardée (4 429 000) | France 2 - Mourir peut attendre (2 084 000) | France 3 - Vanina : Meurtres en Sicile (2 222 000) | M6 - Capital (1 232 000) | France 5 - La fabrique du mensonge (896 000),Non,,,Fiction,"3,1 %",7,https://tvmag.lefigaro.fr/programme-tv/audiences-tv/audiences-didier-bourdon-ecrase-daniel-craig-avec-chasse-gardee-sur-tf1-20260608,2026-06-08,Oui,Audiences : Didier Bourdon écrase Daniel Craig avec Chasse gardée sur TF1,https://tvmag.lefigaro.fr/programme-tv/programme/esprits-criminels-f1773448988,fig-tv-audience table
2026-06-07,RMC Découverte,Faites entrer l'accusé,Magazine,1ère partie de soirée,,Dimanche,397000,,Non,Non,,TF1 - Chasse gardée (4 429 000) | France 2 - Mourir peut attendre (2 084 000) | France 3 - Vanina : Meurtres en Sicile (2 222 000) | M6 - Capital (1 232 000) | France 5 - La fabrique du mensonge (896 000),Non,,,Documentaire / magazine,"2,7 %",8,https://tvmag.lefigaro.fr/programme-tv/audiences-tv/audiences-didier-bourdon-ecrase-daniel-craig-avec-chasse-gardee-sur-tf1-20260608,2026-06-08,Oui,Audiences : Didier Bourdon écrase Daniel Craig avec Chasse gardée sur TF1,https://tvmag.lefigaro.fr/programme-tv/programme/faites-entrer-l-accuse-f984206271,fig-tv-audience table
2026-06-07,Gulli,MacGyver,Série,1ère partie de soirée,,Dimanche,369000,,Non,Non,,TF1 - Chasse gardée (4 429 000) | France 2 - Mourir peut attendre (2 084 000) | France 3 - Vanina : Meurtres en Sicile (2 222 000) | M6 - Capital (1 232 000) | France 5 - La fabrique du mensonge (896 000),Non,,,Fiction,"2,5 %",9,https://tvmag.lefigaro.fr/programme-tv/audiences-tv/audiences-didier-bourdon-ecrase-daniel-craig-avec-chasse-gardee-sur-tf1-20260608,2026-06-08,Oui,Audiences : Didier Bourdon écrase Daniel Craig avec Chasse gardée sur TF1,https://tvmag.lefigaro.fr/programme-tv/programme/macgyver-f1953323988,fig-tv-audience table
2026-06-07,W9,Beaux-parents,Film,1ère partie de soirée,,Dimanche,282000,,Non,Non,,TF1 - Chasse gardée (4 429 000) | France 2 - Mourir peut attendre (2 084 000) | France 3 - Vanina : Meurtres en Sicile (2 222 000) | M6 - Capital (1 232 000) | France 5 - La fabrique du mensonge (896 000),Non,,,Fiction,"1,9 %",10,https://tvmag.lefigaro.fr/programme-tv/audiences-tv/audiences-didier-bourdon-ecrase-daniel-craig-avec-chasse-gardee-sur-tf1-20260608,2026-06-08,Oui,Audiences : Didier Bourdon écrase Daniel Craig avec Chasse gardée sur TF1,https://tvmag.lefigaro.fr/programme-tv/programme/beaux-parents-f1520530139,fig-tv-audience table
